word,entity,score
Gauls,MISC,0.9964738488197327
France,LOC,0.9996318817138672
Dijon,LOC,0.9990416169166565
Gauls,MISC,0.9973911046981812
Josephine Baker,PER,0.875787615776062
Dijon,LOC,0.9974791407585144
Gauls,MISC,0.9559298753738403
Celtic,MISC,0.9994438290596008
French,MISC,0.9992212057113647
Asterix,ORG,0.8631856441497803
Obelix,LOC,0.1929267942905426
Gauls,MISC,0.9494004249572754
BC,MISC,0.9656760692596436
France,LOC,0.9996854066848755
Belgium,LOC,0.9997268319129944
Switzerland,LOC,0.9997302889823914
Julius Caesar,PER,0.9844004809856415
Gauls,MISC,0.9649761319160461
Gauls,MISC,0.9931896328926086
Dijon,LOC,0.9989696741104126
Gauls,MISC,0.9938586354255676
France,LOC,0.9994795918464661
Switzerland,LOC,0.9995682835578918
UK,LOC,0.9982256293296814
Regis,ORG,0.5582180619239807
Labeaune,LOC,0.4486103355884552
French,MISC,0.9981940388679504
Dijon,LOC,0.5685993432998657
Gallic,MISC,0.9974600672721863
Dijon,LOC,0.9861990213394165
Annamaria Latron,PER,0.9992772936820984
Latron,PER,0.9976625442504883
